이름,학년,반,전화번호,생년월일,이메일
임현우,2,3,010-8083-1352,2009-02-26,limhyunwoo17@naver.com
전도윤,1,3,010-8774-7852,2009-05-26,jeondoyun57@naver.com
윤승현,3,6,010-2520-8174,2008-11-21,yoonseunghyun41@gmail.com
강우진,1,4,010-6908-7718,2007-07-16,kangwoojin61@gmail.com
이시우,1,5,010-5767-2337,2007-04-01,leesiwoo40@naver.com
이민준,3,2,010-1799-9227,2010-10-16,leeminjun73@naver.com
김수아,3,10,010-5949-3948,2008-02-15,kimsua19@daum.net
장승현,3,1,010-8442-7749,2007-03-06,jangseunghyun67@naver.com
조민서,3,9,010-9188-6573,2007-11-16,chominseo92@gmail.com
정하은,3,1,010-4207-2586,2007-10-18,junghaeun71@gmail.com
배다인,3,1,010-9879-9576,2010-03-21,baedain85@naver.com
서서연,2,5,010-7728-4632,2007-07-09,seoseoyeon23@daum.net
