이름,학년,반,전화번호,생년월일,이메일
안민서,1,9,010-4142-1897,2010-01-14,ahnminseo62@hanmail.net
서하윤,3,2,010-8473-8706,2010-11-02,seohayun79@gmail.com
홍준서,1,7,010-3526-3353,2010-10-22,hongjunseo77@daum.net
송서윤,2,7,010-9078-8274,2009-07-04,songseoyun85@daum.net
권서준,3,5,010-3592-4694,2009-11-18,kwonseojun98@hanmail.net
조수빈,3,8,010-6924-1724,2007-10-11,chosubin13@gmail.com
류우진,2,8,010-1365-4630,2010-06-23,ryuwoojin54@gmail.com
신수빈,1,6,010-3328-2642,2007-07-10,shinsubin79@naver.com
임소율,3,7,010-6195-2470,2009-02-04,limsoyul77@gmail.com
배준혁,3,8,010-6991-5793,2007-09-17,baejunhyuk39@daum.net
