이름,학년,반,전화번호,생년월일,이메일
김태민,1,7,010-8054-3948,2008-02-10,kimtaemin94@gmail.com
윤윤서,3,9,010-9297-3474,2008-08-06,yoonyunseo25@naver.com
조하린,1,6,010-4669-3815,2008-08-25,choharin84@daum.net
류윤서,1,4,010-9758-7098,2010-01-08,ryuyunseo36@gmail.com
박건우,2,3,010-5905-5746,2010-01-08,parkgunwoo52@daum.net
임하윤,3,2,010-2152-9465,2010-05-31,limhayun62@naver.com
문다인,3,9,010-7487-1973,2009-12-19,moondain71@naver.com
조지아,3,4,010-1821-8348,2008-07-19,chojia19@daum.net
한민서,2,10,010-8449-2612,2007-08-12,hanminseo29@hanmail.net
전주원,2,10,010-5936-6027,2007-05-09,jeonjuwon95@daum.net
