이름,학년,반,전화번호,생년월일,이메일
황서윤,2,7,010-8284-6010,2010-03-10,hwangseoyun14@naver.com
서주원,3,5,010-5979-3447,2009-11-29,seojuwon27@gmail.com
이유찬,1,9,010-6320-1737,2009-10-16,leeyuchan74@hanmail.net
이하윤,3,10,010-9691-5052,2010-04-19,leehayun81@daum.net
권다인,2,4,010-2525-1259,2007-06-26,kwondain20@naver.com
조서준,3,6,010-7540-1535,2007-08-01,choseojun40@hanmail.net
전지아,1,1,010-1114-4584,2010-07-07,jeonjia81@hanmail.net
박예은,2,9,010-1458-1641,2008-10-28,parkyeeun20@hanmail.net
홍지유,1,1,010-9797-4128,2009-04-09,hongjiyu63@daum.net
오지훈,1,1,010-8804-2671,2010-10-08,ohjihun92@naver.com
강선우,2,1,010-5534-6257,2007-06-13,kangsunwoo33@hanmail.net
배도윤,1,6,010-5105-4548,2009-09-20,baedoyun50@naver.com
송예은,3,6,010-9203-3378,2009-06-22,songyeeun97@hanmail.net
한하윤,2,1,010-6431-2338,2009-02-15,hanhayun24@hanmail.net
홍지훈,3,6,010-4640-4231,2008-01-23,hongjihun21@hanmail.net
이하은,3,7,010-2552-7794,2008-10-14,leehaeun27@daum.net
송윤서,3,3,010-9228-8793,2007-11-18,songyunseo70@gmail.com
최예은,2,9,010-5153-8177,2008-06-01,choiyeeun65@daum.net
장동현,3,5,010-3591-2454,2010-04-24,jangdonghyun19@naver.com
임준혁,1,8,010-9597-8152,2009-08-18,limjunhyuk39@daum.net
홍지아,2,10,010-2892-6322,2010-02-15,hongjia21@gmail.com
권수빈,3,1,010-8069-2907,2009-04-14,kwonsubin44@hanmail.net
이승현,1,9,010-3094-3406,2009-05-06,leeseunghyun65@daum.net
신소율,1,5,010-7535-1574,2007-07-01,shinsoyul59@gmail.com
류지우,3,8,010-9723-6600,2007-12-13,ryujiwoo69@hanmail.net
