이름,학년,반,전화번호,생년월일,이메일
배하은,3,3,010-1724-2837,2007-07-27,baehaeun22@naver.com
류지호,3,5,010-3862-4296,2009-05-23,ryujiho61@hanmail.net
신재윤,3,2,010-2149-9905,2009-07-23,shinjaeyun91@gmail.com
조승현,3,1,010-8236-1678,2009-05-23,choseunghyun71@naver.com
류소율,3,1,010-8849-6819,2010-05-20,ryusoyul45@naver.com
권도윤,2,1,010-6172-9262,2007-09-27,kwondoyun68@naver.com
이지우,3,3,010-7367-3837,2007-04-19,leejiwoo62@gmail.com
임태민,2,8,010-3096-4660,2009-09-18,limtaemin36@gmail.com
신윤서,1,1,010-8305-1378,2008-05-31,shinyunseo90@hanmail.net
박민서,2,4,010-7412-3604,2009-04-26,parkminseo36@daum.net
홍지우,3,6,010-7185-7237,2009-02-17,hongjiwoo75@naver.com
황민준,1,3,010-5516-1589,2007-08-17,hwangminjun39@naver.com
임지유,1,6,010-4632-7786,2008-09-13,limjiyu20@naver.com
배민준,2,6,010-7745-9238,2009-09-27,baeminjun30@naver.com
