이름,학교,학년,전화번호,이메일,지역(영문),지역(한글),접수유형,입금상태,참가비,신청일
조소율,대원외고등학교,3,010-9061-9056,,Seoul,서울특별시,individual,confirmed,20000,2026-02-08
송현우,경기고등학교,1,010-9923-5898,,Seoul,서울특별시,group,confirmed,20000,2026-02-01
안도윤,경기고등학교,3,010-2677-1034,student3@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-04
오예준,숙명여고등학교,1,010-6620-5888,,Seoul,서울특별시,group,pending,20000,2026-02-09
정하준,숙명여고등학교,1,010-1240-8248,student5@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-06
정서윤,대원외고등학교,2,010-2299-3628,student6@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-01
서지훈,세화고등학교,3,010-7333-1938,,Seoul,서울특별시,individual,pending,20000,2026-02-14
장지한,세화고등학교,3,010-6362-1000,student8@example.com,Seoul,서울특별시,group,pending,20000,2026-02-20
강서윤,서울고등학교,2,010-3106-7001,student9@example.com,Seoul,서울특별시,group,confirmed,20000,2026-02-05
서하은,서울고등학교,3,010-5262-7197,student10@example.com,Seoul,서울특별시,group,pending,20000,2026-02-02
서수빈,서울고등학교,3,010-1951-5734,,Seoul,서울특별시,group,confirmed,20000,2026-02-04
장소율,경기고등학교,1,010-5517-6202,student12@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-09
류수아,한성고등학교,1,010-4400-5755,student13@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-08
이도윤,한성고등학교,1,010-4719-3638,,Seoul,서울특별시,individual,confirmed,20000,2026-02-14
한지민,대원외고등학교,2,010-8708-7189,,Seoul,서울특별시,group,confirmed,20000,2026-02-09
홍지훈,중동고등학교,1,010-1343-7642,,Seoul,서울특별시,individual,pending,20000,2026-02-08
김주원,중동고등학교,2,010-1463-4096,student17@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-13
김준서,세화고등학교,1,010-6201-4641,,Seoul,서울특별시,individual,confirmed,20000,2026-02-12
임지민,세화고등학교,1,010-1575-8452,student19@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-18
임수아,서울고등학교,1,010-4416-3699,,Seoul,서울특별시,individual,pending,20000,2026-02-17
권수빈,서울고등학교,2,010-2388-2673,student21@example.com,Seoul,서울특별시,group,confirmed,20000,2026-02-07
이지한,서울고등학교,3,010-5839-8226,,Seoul,서울특별시,group,confirmed,20000,2026-02-12
류소율,경기고등학교,3,010-8396-1270,student23@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-13
류태윤,서울고등학교,1,010-9571-2095,student24@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-17
권지한,한성고등학교,1,010-8829-8902,,Seoul,서울특별시,group,confirmed,20000,2026-02-07
이하은,중동고등학교,1,010-6900-3666,,Seoul,서울특별시,individual,pending,20000,2026-02-03
류수빈,세화고등학교,3,010-5112-4117,student27@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-18
정민준,서울고등학교,3,010-9918-1026,,Seoul,서울특별시,individual,confirmed,20000,2026-02-01
임예은,경기고등학교,1,010-9708-5016,student29@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-19
조주원,대원외고등학교,2,010-2587-5679,student30@example.com,Seoul,서울특별시,group,pending,20000,2026-02-01
조지한,세화고등학교,2,010-7290-1534,,Seoul,서울특별시,group,confirmed,20000,2026-02-11
황서윤,한성고등학교,3,010-7397-3802,,Seoul,서울특별시,individual,pending,20000,2026-02-02
이태윤,경기고등학교,1,010-9779-6006,,Seoul,서울특별시,individual,confirmed,20000,2026-02-12
김태윤,경기고등학교,2,010-6195-9870,,Seoul,서울특별시,group,pending,20000,2026-02-03
장지한,세화고등학교,2,010-4024-8705,student35@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-09
홍서연,대원외고등학교,3,010-6311-2556,student36@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-20
정도윤,숙명여고등학교,2,010-7778-7413,,Seoul,서울특별시,individual,confirmed,20000,2026-02-15
송채원,숙명여고등학교,3,010-3258-6142,,Seoul,서울특별시,individual,confirmed,20000,2026-02-09
강지민,숙명여고등학교,2,010-9809-3226,,Seoul,서울특별시,group,confirmed,20000,2026-02-08
서채원,숙명여고등학교,1,010-2865-7519,student40@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-05
류현우,경기고등학교,3,010-6241-6351,student41@example.com,Seoul,서울특별시,group,confirmed,20000,2026-02-19
박예은,대원외고등학교,2,010-3492-7138,student42@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-10
홍지훈,경기고등학교,2,010-6546-9920,student43@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-11
임지우,경기고등학교,3,010-2110-1021,student44@example.com,Seoul,서울특별시,group,confirmed,20000,2026-02-15
황예은,세화고등학교,3,010-8521-9240,,Seoul,서울특별시,group,confirmed,20000,2026-02-02
강지호,대원외고등학교,3,010-5362-7010,student46@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-10
임예준,경기고등학교,1,010-1588-7112,student47@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-14
이준서,중동고등학교,3,010-5384-6637,student48@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-19
권주원,대원외고등학교,1,010-3294-7132,student49@example.com,Seoul,서울특별시,individual,confirmed,20000,2026-02-20
최시우,중동고등학교,3,010-3382-6272,,Seoul,서울특별시,group,confirmed,20000,2026-02-18
정지호,서울고등학교,1,010-3146-4191,student51@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-15
강시우,서울고등학교,3,010-9001-5820,,Seoul,서울특별시,group,pending,20000,2026-02-15
윤예준,중동고등학교,3,010-7878-7387,,Seoul,서울특별시,individual,confirmed,20000,2026-02-13
임유진,중동고등학교,1,010-7764-5303,,Seoul,서울특별시,individual,confirmed,20000,2026-02-06
안시우,중동고등학교,3,010-7390-6954,,Seoul,서울특별시,individual,pending,20000,2026-02-10
조예준,중동고등학교,3,010-2441-4631,,Seoul,서울특별시,individual,confirmed,20000,2026-02-19
강하준,경기고등학교,1,010-2453-9463,,Seoul,서울특별시,individual,confirmed,20000,2026-02-12
송지한,경기고등학교,3,010-6880-1728,student58@example.com,Seoul,서울특별시,group,pending,20000,2026-02-09
신지민,중동고등학교,2,010-8579-4041,,Seoul,서울특별시,individual,confirmed,20000,2026-02-08
김태윤,세화고등학교,1,010-2372-9473,,Seoul,서울특별시,individual,pending,20000,2026-02-04
윤소율,한성고등학교,2,010-8981-5172,,Seoul,서울특별시,individual,pending,20000,2026-02-03
장주원,한성고등학교,1,010-7918-2848,student62@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-06
이채원,대원외고등학교,2,010-9966-2902,,Seoul,서울특별시,individual,confirmed,20000,2026-02-20
최수빈,세화고등학교,3,010-7985-9052,student64@example.com,Seoul,서울특별시,group,confirmed,20000,2026-02-20
김준서,세화고등학교,2,010-1319-7086,,Seoul,서울특별시,group,confirmed,20000,2026-02-07
안민준,대원외고등학교,1,010-2794-7431,student66@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-19
박수아,세화고등학교,3,010-5547-3538,,Seoul,서울특별시,group,pending,20000,2026-02-01
신시우,세화고등학교,2,010-7962-8163,,Seoul,서울특별시,individual,pending,20000,2026-02-11
홍현우,숙명여고등학교,3,010-8953-6902,student69@example.com,Seoul,서울특별시,group,confirmed,20000,2026-02-20
이지한,숙명여고등학교,2,010-9915-5660,,Seoul,서울특별시,group,confirmed,20000,2026-02-07
홍예준,세화고등학교,1,010-2001-1437,student71@example.com,Seoul,서울특별시,individual,pending,20000,2026-02-01
안유진,세화고등학교,3,010-9686-3791,,Seoul,서울특별시,group,pending,20000,2026-02-09
임채원,부일외고등학교,1,010-5185-1477,student73@example.com,Busan,부산광역시,individual,pending,20000,2026-02-13
오하은,부산고등학교,1,010-7844-4012,,Busan,부산광역시,individual,pending,20000,2026-02-10
류소율,동래고등학교,2,010-4040-7474,,Busan,부산광역시,individual,confirmed,20000,2026-02-18
한예준,해운대고등학교,1,010-3763-8544,student76@example.com,Busan,부산광역시,group,confirmed,20000,2026-02-11
강예은,부산고등학교,1,010-1039-8752,,Busan,부산광역시,individual,pending,20000,2026-02-05
오지우,부일외고등학교,2,010-1773-2607,,Busan,부산광역시,individual,pending,20000,2026-02-12
김채원,동래고등학교,3,010-7481-2146,student79@example.com,Busan,부산광역시,individual,confirmed,20000,2026-02-03
홍지한,해운대고등학교,1,010-2646-4636,student80@example.com,Busan,부산광역시,individual,pending,20000,2026-02-09
서서연,부산고등학교,1,010-3630-7307,student81@example.com,Busan,부산광역시,individual,pending,20000,2026-02-13
류지훈,부산고등학교,2,010-9818-1337,,Busan,부산광역시,individual,pending,20000,2026-02-17
장지우,부산고등학교,3,010-9754-8928,,Busan,부산광역시,individual,confirmed,20000,2026-02-15
최지민,부산고등학교,1,010-5108-4528,,Busan,부산광역시,individual,confirmed,20000,2026-02-12
윤민준,동래고등학교,2,010-1458-8337,,Busan,부산광역시,group,confirmed,20000,2026-02-04
송지호,해운대고등학교,1,010-9263-1020,,Busan,부산광역시,individual,confirmed,20000,2026-02-14
윤유진,해운대고등학교,2,010-4090-2314,student87@example.com,Busan,부산광역시,group,pending,20000,2026-02-01
한하준,해운대고등학교,2,010-7884-7609,student88@example.com,Busan,부산광역시,individual,pending,20000,2026-02-07
임서윤,해운대고등학교,2,010-4212-9634,student89@example.com,Busan,부산광역시,individual,confirmed,20000,2026-02-18
김도윤,부산고등학교,3,010-4702-9931,,Busan,부산광역시,individual,pending,20000,2026-02-04
류유진,부산고등학교,1,010-8535-2103,student91@example.com,Busan,부산광역시,individual,confirmed,20000,2026-02-07
홍수아,부일외고등학교,2,010-2693-6001,,Busan,부산광역시,individual,confirmed,20000,2026-02-12
권민준,동래고등학교,1,010-4905-2790,student93@example.com,Busan,부산광역시,group,confirmed,20000,2026-02-04
이서윤,부산고등학교,2,010-5484-7492,student94@example.com,Busan,부산광역시,individual,pending,20000,2026-02-13
홍유진,해운대고등학교,2,010-5445-7288,student95@example.com,Busan,부산광역시,group,confirmed,20000,2026-02-20
임지민,해운대고등학교,2,010-8123-1540,,Busan,부산광역시,individual,confirmed,20000,2026-02-12
송도윤,동래고등학교,3,010-7640-1273,student97@example.com,Busan,부산광역시,individual,pending,20000,2026-02-13
임승현,동래고등학교,3,010-9420-2931,student98@example.com,Busan,부산광역시,individual,confirmed,20000,2026-02-16
조현우,해운대고등학교,3,010-6477-4982,,Busan,부산광역시,individual,confirmed,20000,2026-02-13
홍도윤,부일외고등학교,2,010-3489-3212,,Busan,부산광역시,individual,confirmed,20000,2026-02-02
송지호,대구고등학교,3,010-9326-8853,student101@example.com,Daegu,대구광역시,individual,pending,20000,2026-02-15
황서윤,대구고등학교,3,010-7628-5653,,Daegu,대구광역시,individual,confirmed,20000,2026-02-19
서현우,대구고등학교,1,010-7703-4832,,Daegu,대구광역시,group,pending,20000,2026-02-16
송주원,대구고등학교,1,010-4026-5870,student104@example.com,Daegu,대구광역시,group,confirmed,20000,2026-02-19
서건우,대구고등학교,1,010-8656-9418,student105@example.com,Daegu,대구광역시,individual,pending,20000,2026-02-16
장하준,대구고등학교,3,010-8606-3138,student106@example.com,Daegu,대구광역시,individual,pending,20000,2026-02-04
황지우,대구고등학교,3,010-6497-2221,student107@example.com,Daegu,대구광역시,group,pending,20000,2026-02-06
황예은,대건고등학교,3,010-9176-5489,,Daegu,대구광역시,individual,pending,20000,2026-02-16
최시우,경북고등학교,2,010-6316-7212,,Daegu,대구광역시,group,confirmed,20000,2026-02-15
송예준,대구고등학교,2,010-3003-5176,,Daegu,대구광역시,group,pending,20000,2026-02-12
강지우,대구고등학교,1,010-5179-5836,,Daegu,대구광역시,group,confirmed,20000,2026-02-05
정수아,대구고등학교,1,010-6646-1948,,Daegu,대구광역시,group,confirmed,20000,2026-02-05
황하준,대건고등학교,3,010-3071-6374,student113@example.com,Daegu,대구광역시,individual,pending,20000,2026-02-01
신현우,대구고등학교,2,010-1279-1199,student114@example.com,Daegu,대구광역시,individual,confirmed,20000,2026-02-15
류서윤,대구고등학교,3,010-3547-5962,,Daegu,대구광역시,group,confirmed,20000,2026-02-02
이준서,대건고등학교,3,010-2581-5958,,Daegu,대구광역시,group,confirmed,20000,2026-02-02
윤서연,대구고등학교,2,010-4151-5013,,Daegu,대구광역시,individual,pending,20000,2026-02-02
장지민,경북고등학교,1,010-8044-3873,,Daegu,대구광역시,individual,pending,20000,2026-02-03
김서연,대구고등학교,2,010-1182-7047,student119@example.com,Daegu,대구광역시,individual,confirmed,20000,2026-02-18
윤도윤,대건고등학교,2,010-4645-6680,student120@example.com,Daegu,대구광역시,group,confirmed,20000,2026-02-02
강준서,대건고등학교,1,010-6282-1856,student121@example.com,Daegu,대구광역시,individual,confirmed,20000,2026-02-04
장하은,대구고등학교,3,010-9121-8327,student122@example.com,Daegu,대구광역시,group,confirmed,20000,2026-02-04
이서연,인천외고등학교,2,010-6966-1944,student123@example.com,Incheon,인천광역시,group,confirmed,20000,2026-02-09
윤서연,제물포고등학교,2,010-5299-2865,student124@example.com,Incheon,인천광역시,individual,confirmed,20000,2026-02-01
서지한,인천외고등학교,3,010-8290-6505,,Incheon,인천광역시,individual,pending,20000,2026-02-14
강현우,제물포고등학교,1,010-6387-6184,,Incheon,인천광역시,individual,confirmed,20000,2026-02-07
한예준,인천외고등학교,2,010-8225-8333,,Incheon,인천광역시,individual,confirmed,20000,2026-02-10
조지우,인천외고등학교,3,010-4201-1978,student128@example.com,Incheon,인천광역시,individual,pending,20000,2026-02-14
정시우,인천외고등학교,2,010-9674-5840,student129@example.com,Incheon,인천광역시,group,confirmed,20000,2026-02-18
최민준,제물포고등학교,2,010-4737-5710,student130@example.com,Incheon,인천광역시,individual,confirmed,20000,2026-02-13
윤하은,인천외고등학교,3,010-6212-3065,,Incheon,인천광역시,individual,pending,20000,2026-02-16
안서연,인천고등학교,1,010-3294-1072,,Incheon,인천광역시,individual,confirmed,20000,2026-02-10
박건우,인천고등학교,2,010-7425-9561,student133@example.com,Incheon,인천광역시,individual,confirmed,20000,2026-02-07
권승현,인천고등학교,1,010-4712-9848,student134@example.com,Incheon,인천광역시,group,confirmed,20000,2026-02-18
조채원,인천외고등학교,2,010-5773-9671,,Incheon,인천광역시,group,confirmed,20000,2026-02-15
정채원,제물포고등학교,2,010-8292-9978,student136@example.com,Incheon,인천광역시,group,confirmed,20000,2026-02-02
홍건우,인천고등학교,1,010-1273-8035,,Incheon,인천광역시,group,confirmed,20000,2026-02-20
강지한,인천외고등학교,3,010-1577-7728,,Incheon,인천광역시,individual,pending,20000,2026-02-11
김건우,인천고등학교,2,010-9803-1078,,Incheon,인천광역시,individual,confirmed,20000,2026-02-11
한서연,인천고등학교,2,010-5203-9288,,Incheon,인천광역시,group,confirmed,20000,2026-02-08
최지민,인천고등학교,1,010-5826-9656,,Incheon,인천광역시,individual,confirmed,20000,2026-02-04
김예준,인천외고등학교,2,010-7059-1214,,Incheon,인천광역시,individual,confirmed,20000,2026-02-09
신건우,숭덕고등학교,3,010-1813-1935,,Gwangju,광주광역시,group,confirmed,20000,2026-02-18
류준서,전남고등학교,3,010-1202-7202,,Gwangju,광주광역시,individual,confirmed,20000,2026-02-08
신승현,전남고등학교,1,010-8927-1002,,Gwangju,광주광역시,individual,confirmed,20000,2026-02-14
서유진,전남고등학교,3,010-2522-7200,student146@example.com,Gwangju,광주광역시,group,confirmed,20000,2026-02-15
서예은,숭덕고등학교,2,010-8107-8584,,Gwangju,광주광역시,individual,confirmed,20000,2026-02-19
오태윤,숭덕고등학교,2,010-7220-4570,student148@example.com,Gwangju,광주광역시,group,confirmed,20000,2026-02-08
오수빈,숭덕고등학교,2,010-3139-1259,student149@example.com,Gwangju,광주광역시,group,pending,20000,2026-02-17
이지민,전남고등학교,3,010-8727-1376,student150@example.com,Gwangju,광주광역시,individual,confirmed,20000,2026-02-05
박승현,전남고등학교,2,010-5899-2365,student151@example.com,Gwangju,광주광역시,group,confirmed,20000,2026-02-19
류승현,전남고등학교,1,010-4698-1087,,Gwangju,광주광역시,group,confirmed,20000,2026-02-12
오준서,광주일고등학교,2,010-2109-4556,student153@example.com,Gwangju,광주광역시,group,confirmed,20000,2026-02-19
윤건우,전남고등학교,1,010-1102-3463,,Gwangju,광주광역시,group,confirmed,20000,2026-02-17
김주원,광주일고등학교,2,010-3039-6162,,Gwangju,광주광역시,group,confirmed,20000,2026-02-20
서예은,전남고등학교,1,010-6508-6658,student156@example.com,Gwangju,광주광역시,group,pending,20000,2026-02-20
박주원,전남고등학교,2,010-6573-2939,,Gwangju,광주광역시,group,confirmed,20000,2026-02-20
신지훈,숭덕고등학교,3,010-2486-4873,student158@example.com,Gwangju,광주광역시,individual,confirmed,20000,2026-02-18
권채원,광주일고등학교,3,010-6366-4307,student159@example.com,Gwangju,광주광역시,individual,confirmed,20000,2026-02-08
장하은,광주일고등학교,1,010-8580-9778,student160@example.com,Gwangju,광주광역시,group,pending,20000,2026-02-03
조도윤,대전외고등학교,3,010-1303-3584,,Daejeon,대전광역시,individual,confirmed,20000,2026-02-14
류소율,대전고등학교,3,010-2340-1773,student162@example.com,Daejeon,대전광역시,individual,confirmed,20000,2026-02-16
장태윤,대전고등학교,3,010-3566-6085,,Daejeon,대전광역시,group,confirmed,20000,2026-02-12
조준서,충남고등학교,1,010-7316-3327,student164@example.com,Daejeon,대전광역시,individual,pending,20000,2026-02-14
송현우,충남고등학교,3,010-7506-4010,,Daejeon,대전광역시,individual,confirmed,20000,2026-02-11
윤건우,대전고등학교,3,010-4760-5303,,Daejeon,대전광역시,individual,pending,20000,2026-02-20
